,a,b,l,m,f_l,f_m
1,-3.0,5.0,0.05572809000084078,1.9442719099991592,0.11456180001682337,7.668737080010097
2,-3.0,1.9442719099991592,-1.1114561800016824,0.05572809000084078,-0.9875775199394325,0.11456180001682337
3,-3.0,0.05572809000084078,-1.8328157299974768,-1.1114561800016824,-0.30641795986876996,-0.9875775199394325
4,0.05572809000084078,-1.8328157299974768,-0.6656314599949531,-1.1114561800016824,-0.8881976794548934,-0.9875775199394325
5,-1.8328157299974768,-0.6656314599949531,-1.3869910099907472,-1.1114561800016824,-0.8502379581863413,-0.9875775199394325
6,-0.6656314599949531,-1.3869910099907472,-0.9411662899840173,-1.1114561800016824,-0.9965385945657552,-0.9875775199394325
7,-0.6656314599949531,-1.1114561800016824,-0.8359213500126184,-0.9411662899840173,-0.9730781966183183,-0.9965385945657552
8,-1.1114561800016824,-0.8359213500126184,-1.0062112400302836,-0.9411662899840173,-0.9999614204972862,-0.9965385945657552
9,-1.1114561800016824,-0.9411662899840173,-1.0464112299554158,-1.0062112400302836,-0.9978459977340255,-0.9999614204972862
10,-0.9411662899840173,-1.0464112299554158,-0.9813662799091492,-1.0062112400302836,-0.9996527844755758,-0.9999614204972862
11,-1.0464112299554158,-0.9813662799091492,-1.0215662698342811,-1.0062112400302836,-0.9995348960054349,-0.9999614204972862
12,-0.9813662799091492,-1.0215662698342811,-0.9967213097131462,-1.0062112400302836,-0.9999892501900028,-0.9999614204972862
13,-0.9813662799091492,-1.0062112400302836,-0.9908562102262868,-0.9967213097131462,-0.9999163911085741,-0.9999892501900028
14,-1.0062112400302836,-0.9908562102262868,-1.0003461405434244,-0.9967213097131462,-0.9999998801867243,-0.9999892501900028
15,-1.0062112400302836,-0.9967213097131462,-1.0025864092000052,-1.0003461405434244,-0.9999933104874501,-0.9999998801867243
16,-0.9967213097131462,-1.0025864092000052,-0.9989615783697268,-1.0003461405434244,-0.9999989216805177,-0.9999998801867243
17,-1.0025864092000052,-0.9989615783697268,-1.0012018470263073,-1.0003461405434244,-0.9999985555637254,-0.9999998801867243
18,-0.9989615783697268,-1.0012018470263073,-0.9998172848526095,-1.0003461405434244,-0.9999999666151749,-0.9999998801867243
19,-0.9989615783697268,-1.0003461405434244,-0.9994904340605417,-0.9998172848526095,-0.9999997403425533,-0.9999999666151749
